method_chain,case_id,case_name,probe_key,probe_name,probe_role,operator_key,operator_name,dynamic_path_enabled,response_feedback_enabled,input_mode,boundary_floor,path_manifestation,final_w12,final_w23,final_path_dominance_index,mean_path_dominance_index,edge_current_rms_1F_2F,edge_current_rms_2F_3F,edge_current_concentration_ratio_1F_2F_over_2F_3F,mean_evolved_av_next_vs_measured_av_corr,mean_evolved_abs_av_next_vs_measured_abs_av_corr,mean_one_step_av_evolution_residual_rmse,mean_target_hit_power_alignment_corr,mean_signed_hit_power_vs_signed_av_corr,mean_target_hit_peak_time_offset_seconds,work_capacity_scale,mean_manifested_work_ratio,mean_unmanifested_work_margin,max_response_floor
QSM-QTE-FATE,kobe_035_semi_active,Kobe 0.35 — semi-active,laplacian_dynamic_feedback,Laplacian floor-state field probe,floor_state_dynamic,laplacian,Laplacian field,True,True,floor_state_assimilated,1F,1F-2F lower-interface indication,1.5426350663126362,0.45736493368736386,0.5426350663123649,0.36786953835109554,0.5304403691605503,0.12077741737653798,4.391883687183403,0.656291182145399,0.9184283661440458,0.06499635768387341,0.9184283661440458,0.656291182145399,0.0846354012110524,1.654114507076246,0.6108156340629378,0.3891843659370622,3F
QSM-QTE-FATE,kobe_035_semi_active,Kobe 0.35 — semi-active,zero_diagonal_dynamic_feedback,Zero-diagonal floor-state field probe,floor_state_dynamic,zero_diagonal,Strict zero-diagonal field,True,True,floor_state_assimilated,1F,1F-2F lower-interface indication,1.5139791217078855,0.48602087829211443,0.5139791217076285,0.3858460114252798,0.5414928736061618,0.11034446582910909,4.907295255204431,0.7028053272028291,0.9183729485648806,0.06176447373726338,0.9183729485648806,0.7028053272028291,0.0846354012110524,1.6675514126764706,0.6060084845500238,0.39399151544997624,3F
QSM-QTE-FATE,kobe_035_semi_active,Kobe 0.35 — semi-active,boundary_input_only_evolution,Boundary-input-only diagnostic reference,boundary_reference,laplacian,Laplacian field,True,False,boundary_input_only,1F,near-equal / no clear final path indication,0.9927788153980938,1.0072211846019063,-0.007221184601902683,-0.016580430780363517,0.4706037993976322,0.4910084896632471,0.9584433045535167,-0.01593274667668704,0.6766302529812714,0.07274760383740124,0.6766302529812714,-0.01593274667668704,0.7356770929408754,15.606317931252436,0.5488587172606718,0.4511412827393282,3F
QSM-QTE-FATE,kobe_035_semi_active,Kobe 0.35 — semi-active,dynamic_path_no_response_feedback,Floor-state dynamic path without response feedback,floor_state_dynamic,laplacian,Laplacian field,True,False,floor_state_assimilated,1F,1F-2F lower-interface indication,1.5425533324583294,0.45744666754167057,0.542553332458058,0.3680012476191545,0.5304462971873324,0.12076250469614853,4.392475118975049,0.6562911565469043,0.9184283505672622,0.06499634274387751,0.9184283505672622,0.6562911565469043,0.0846354012110524,1.654114280791126,0.6108155483598394,0.38918445164016063,3F
QSM-QTE-FATE,kobe_035_semi_active,Kobe 0.35 — semi-active,fixed_path_reference,Fixed-path reference,fixed_reference,laplacian,Fixed-path reference,False,False,floor_state_assimilated,1F,near-equal / no clear final path indication,1.0,1.0,0.0,0.0,0.32391700430371084,0.22501706156935564,1.4395219724368873,0.6572069730148776,0.9184352864702529,0.06495821647012294,0.9184352864702529,0.6572069730148776,0.0846354012110524,1.6540583001918807,0.6109062735826517,0.38909372641734813,3F
QSM-QTE-FATE,morgan_hill_100_passive_off,Morgan Hill 1.00 — passive-off,laplacian_dynamic_feedback,Laplacian floor-state field probe,floor_state_dynamic,laplacian,Laplacian field,True,True,floor_state_assimilated,1F,1F-2F lower-interface indication,1.079086390378787,0.9209136096212128,0.07908639037874757,0.20540575740071831,0.42631142284292706,0.31152975903567776,1.3684452623761558,0.7526765152748646,0.95163888066463,0.09584473674464071,0.95163888066463,0.7526765152748646,0.0032552164788596607,1.8328530930360194,0.5524213579896404,0.4475786420103596,2F
QSM-QTE-FATE,morgan_hill_100_passive_off,Morgan Hill 1.00 — passive-off,zero_diagonal_dynamic_feedback,Zero-diagonal floor-state field probe,floor_state_dynamic,zero_diagonal,Strict zero-diagonal field,True,True,floor_state_assimilated,1F,1F-2F lower-interface indication,1.0766224388486196,0.9233775611513804,0.07662243884858132,0.18920187178052933,0.40146126776887847,0.3278740988192487,1.2244372739823302,0.782545595764044,0.9515931730702114,0.09181320635185493,0.9515931730702114,0.782545595764044,0.0032552164788596607,1.8468639963744766,0.5487873845803043,0.45121261541969576,2F
QSM-QTE-FATE,morgan_hill_100_passive_off,Morgan Hill 1.00 — passive-off,boundary_input_only_evolution,Boundary-input-only diagnostic reference,boundary_reference,laplacian,Laplacian field,True,False,boundary_input_only,1F,near-equal / no clear final path indication,0.9963671373148376,1.0036328626851623,-0.0036328626851605136,-0.0171590201680772,0.4683909927728739,0.48908448755318146,0.9576893250391322,0.04634522885750103,0.6990076372960706,0.11113336926680582,0.6990076372960706,0.04634522885750103,2.337239577067543,22.207012424520688,0.49002306259928546,0.5099769374007145,2F
QSM-QTE-FATE,morgan_hill_100_passive_off,Morgan Hill 1.00 — passive-off,dynamic_path_no_response_feedback,Floor-state dynamic path without response feedback,floor_state_dynamic,laplacian,Laplacian field,True,False,floor_state_assimilated,1F,1F-2F lower-interface indication,1.0787505537488986,0.9212494462511014,0.07875055374885923,0.20507996953282775,0.4262231859070881,0.31168510354665424,1.3674801299636763,0.7526765272401356,0.9516388818234143,0.09584474737565929,0.9516388818234143,0.7526765272401356,0.0032552164788596607,1.8328527743840641,0.552421476996206,0.4475785230037939,2F
QSM-QTE-FATE,morgan_hill_100_passive_off,Morgan Hill 1.00 — passive-off,fixed_path_reference,Fixed-path reference,fixed_reference,laplacian,Fixed-path reference,False,False,floor_state_assimilated,1F,near-equal / no clear final path indication,1.0,1.0,0.0,0.0,0.3642313369748384,0.3884730177094954,0.9375975173809297,0.752680140539829,0.9516390965408799,0.09584803308641755,0.9516390965408799,0.752680140539829,0.0032552164788596607,1.8327148216149796,0.5524689691884376,0.4475310308115625,2F
