case_id,case_name,event_name,input_scale,control_mode,source_file,method_order,method_key,method_name,method_stage,operator_key,operator_name,dynamic_path_enabled,response_feedback_enabled,input_mode,boundary_floor,target_floor_no,target_floor,evolved_av_next_vs_measured_av_corr,evolved_abs_av_next_vs_measured_abs_av_corr,one_step_av_evolution_residual_rmse,target_hit_power_alignment_corr,signed_hit_power_vs_signed_av_corr,target_hit_power_peak_time_seconds,measured_abs_a_times_v_peak_time_seconds,target_hit_power_peak_time_offset_seconds,w_hit_final,work_capacity_scale,hit_work_capacity_final,displacement_side_work_final,manifested_work_ratio,unmanifested_work_margin,measured_abs_work_final,measured_signed_work_final,max_downstream_response_envelope,downstream_response_peak_time_seconds,hidden_work_proxy_mean
el_centro_050_passive_off,El Centro 0.50 — passive-off,El Centro,0.50,passive-off,elcentro_0p50_07312012_poff_donghua_converted.csv,1,qsm,QSM,qsm,zero_diagonal,Zero-diagonal Hamiltonian H=-W,False,False,boundary_input_only,1F,2,2F,0.5072004888630637,0.6356618537624689,4297.937069320837,0.6356618537624689,0.5072004888630637,45.783,45.963,-0.17999999999999972,8119.759567110045,16.05856279845644,130391.66891680413,116680.62425928854,0.8948472339420407,0.10515276605795931,116680.62425928854,-50512.30938387214,2.555535534875746,45.828,0.9301947883424018
el_centro_050_passive_off,El Centro 0.50 — passive-off,El Centro,0.50,passive-off,elcentro_0p50_07312012_poff_donghua_converted.csv,1,qsm,QSM,qsm,zero_diagonal,Zero-diagonal Hamiltonian H=-W,False,False,boundary_input_only,1F,3,3F,-0.39976379383417987,0.6291488626826015,7160.828707839005,0.6291488626826015,-0.39976379383417987,46.330000000000005,46.315000000000005,0.015000000000000568,12688.742456329437,16.05856279845644,203762.96756840666,194059.96911276825,0.9523809523809523,0.04761904761904767,194059.96911276825,-69033.71162846072,2.627218808445125,45.831,0.9315065282903564
el_centro_050_passive_off,El Centro 0.50 — passive-off,El Centro,0.50,passive-off,elcentro_0p50_07312012_poff_donghua_converted.csv,2,qte,QTE,qte,laplacian,Laplacian topology Hamiltonian H=L(W),True,False,boundary_input_only,1F,1,1F,-0.053903290393957234,0.857454387025555,1241.809980197411,0.857454387025555,-0.053903290393957234,45.783,45.782,0.0010000000000047748,6677.587435116354,23.64128263438624,157866.731869412,30885.67895233998,0.19564400039578153,0.8043559996042184,30885.67895233998,-18856.430330632622,3.577777766741197,45.66100000000001,0.9361163280800004
el_centro_050_passive_off,El Centro 0.50 — passive-off,El Centro,0.50,passive-off,elcentro_0p50_07312012_poff_donghua_converted.csv,2,qte,QTE,qte,laplacian,Laplacian topology Hamiltonian H=L(W),True,False,boundary_input_only,1F,2,2F,0.016003626175884512,0.6669203138858605,4518.538551587818,0.6669203138858605,0.016003626175884512,54.98,45.963,9.016999999999996,15589.114929312162,23.64128263438624,368546.6720637989,116680.62425928854,0.31659660255754535,0.6834033974424547,116680.62425928854,-50512.30938387214,2.555535534875746,45.828,0.9301947883424018
el_centro_050_passive_off,El Centro 0.50 — passive-off,El Centro,0.50,passive-off,elcentro_0p50_07312012_poff_donghua_converted.csv,2,qte,QTE,qte,laplacian,Laplacian topology Hamiltonian H=L(W),True,False,boundary_input_only,1F,3,3F,0.1498634684569783,0.6872645454854396,6806.304253573825,0.6872645454854396,0.1498634684569783,45.783,46.315000000000005,-0.5320000000000036,8618.947233938716,23.64128263438624,203762.9675684067,194059.96911276825,0.9523809523809522,0.04761904761904778,194059.96911276825,-69033.71162846072,2.627218808445125,45.831,0.9315065280392062
el_centro_050_passive_off,El Centro 0.50 — passive-off,El Centro,0.50,passive-off,elcentro_0p50_07312012_poff_donghua_converted.csv,3,fate,FATE,fate,laplacian,Sensor-aware Laplacian evolution (Aware_power),True,True,floor_state_assimilated,1F,1,1F,0.6804833741425644,0.7988307286203129,10306.62533112565,0.7988307286203129,0.6804833741425644,46.327000000000005,45.782,0.5450000000000088,303568.485920237,9.714970613634911,2949158.919940746,30885.67895233998,0.010472707572150955,0.9895272924278491,30885.67895233998,-18856.430330632622,3.577777766741197,45.66100000000001,0.9361248553373787
el_centro_050_passive_off,El Centro 0.50 — passive-off,El Centro,0.50,passive-off,elcentro_0p50_07312012_poff_donghua_converted.csv,3,fate,FATE,fate,laplacian,Sensor-aware Laplacian evolution (Aware_power),True,True,floor_state_assimilated,1F,2,2F,0.053358253821896996,0.5005629788837854,4618.752438988633,0.5005629788837854,0.053358253821896996,45.946000000000005,45.963,-0.016999999999995907,17083.48281916397,9.714970613634911,165965.53356671488,116680.62425928854,0.7030412987066693,0.2969587012933307,116680.62425928854,-50512.30938387214,2.555535534875746,45.828,0.93020331559978
el_centro_050_passive_off,El Centro 0.50 — passive-off,El Centro,0.50,passive-off,elcentro_0p50_07312012_poff_donghua_converted.csv,3,fate,FATE,fate,laplacian,Sensor-aware Laplacian evolution (Aware_power),True,True,floor_state_assimilated,1F,3,3F,0.04027000166457315,0.4684804035506694,6929.528881988076,0.4684804035506694,0.04027000166457315,46.293,46.315000000000005,-0.02200000000000557,20974.120835983424,9.714970613634911,203762.96756840666,194059.96911276825,0.9523809523809523,0.04761904761904767,194059.96911276825,-69033.71162846072,2.627218808445125,45.831,0.9315304382738883
kobe_035_semi_active,Kobe 0.35 — semi-active,Kobe,0.35,semi-active,kobe_035_semi_active_avg_converted.csv,1,qsm,QSM,qsm,zero_diagonal,Zero-diagonal Hamiltonian H=-W,False,False,boundary_input_only,1F,1,1F,0.15116939411585195,0.5612742378589483,0.028034574565045243,0.5612742378589483,0.15116939411585195,9.335937522556845,10.722656253759476,-1.386718731202631,0.12804793279876497,12.233512465266385,1.5664759820452836,0.422655708848558,0.2698130796084367,0.7301869203915633,0.422655708848558,-0.056163673442791676,3.6499065245646314,10.932617195332238,0.9490714863661825
kobe_035_semi_active,Kobe 0.35 — semi-active,Kobe,0.35,semi-active,kobe_035_semi_active_avg_converted.csv,1,qsm,QSM,qsm,zero_diagonal,Zero-diagonal Hamiltonian H=-W,False,False,boundary_input_only,1F,2,2F,-0.15293414573997186,0.6119186666852142,0.07453693570379076,0.6119186666852142,-0.15293414573997186,12.314453141917634,10.893554677788028,1.4208984641296052,0.1055339182210085,12.233512465266385,1.2910505040651106,1.2295719086334387,0.9523809523802147,0.047619047619785304,1.2295719086334387,-0.10518528311316587,3.8021435610814867,10.776367205357502,0.9496141728590162
kobe_035_semi_active,Kobe 0.35 — semi-active,Kobe,0.35,semi-active,kobe_035_semi_active_avg_converted.csv,1,qsm,QSM,qsm,zero_diagonal,Zero-diagonal Hamiltonian H=-W,False,False,boundary_input_only,1F,3,3F,0.1961025196911308,0.5728128125250556,0.11091621259863921,0.5728128125250556,0.1961025196911308,10.727539078477768,10.810546898183423,-0.08300781970565474,0.18907361058166527,12.233512465266385,2.3130343719037243,1.8690935474513388,0.8080699405742892,0.19193005942571084,1.8690935474513388,-0.1365994809389454,4.173875952651221,10.781249989974738,0.9505907949243622
kobe_035_semi_active,Kobe 0.35 — semi-active,Kobe,0.35,semi-active,kobe_035_semi_active_avg_converted.csv,2,qte,QTE,qte,laplacian,Laplacian topology Hamiltonian H=L(W),True,False,boundary_input_only,1F,1,1F,0.08731451054656943,0.7568850630687449,0.029341493475068297,0.7568850630687449,0.08731451054656943,12.314453141917634,10.722656253759476,1.5917968881581572,0.13922554552785865,15.606317931252436,2.172798127659823,0.422655708848558,0.19452138855788595,0.8054786114421141,0.422655708848558,-0.056163673442791676,3.6499065245646314,10.932617195332238,0.9490714863661825
kobe_035_semi_active,Kobe 0.35 — semi-active,Kobe,0.35,semi-active,kobe_035_semi_active_avg_converted.csv,2,qte,QTE,qte,laplacian,Laplacian topology Hamiltonian H=L(W),True,False,boundary_input_only,1F,2,2F,0.011723294355773465,0.724646023269515,0.07351695082484566,0.724646023269515,0.011723294355773465,11.425781248746842,10.893554677788028,0.5322265709588141,0.1576764722779891,15.606317931252436,2.4607491566486086,1.2295719086334387,0.4996738108436625,0.5003261891563375,1.2295719086334387,-0.10518528311316587,3.8021435610814867,10.776367205357502,0.9496141727851516
kobe_035_semi_active,Kobe 0.35 — semi-active,Kobe,0.35,semi-active,kobe_035_semi_active_avg_converted.csv,2,qte,QTE,qte,laplacian,Laplacian topology Hamiltonian H=L(W),True,False,boundary_input_only,1F,3,3F,-0.14683604493240401,0.5483596726055544,0.11538436721228973,0.5483596726055544,-0.14683604493240401,10.727539078477768,10.810546898183423,-0.08300781970565474,0.12575344379559283,15.606317931252436,1.962548224823906,1.8690935474513388,0.952380952380467,0.04761904761953295,1.8690935474513388,-0.1365994809389454,4.173875952651221,10.781249989974738,0.9505905238569233
kobe_035_semi_active,Kobe 0.35 — semi-active,Kobe,0.35,semi-active,kobe_035_semi_active_avg_converted.csv,3,fate,FATE,fate,laplacian,Sensor-aware Laplacian evolution (Aware_power),True,True,floor_state_assimilated,1F,1,1F,0.5668865580742739,0.8511274423663869,0.060318314416272605,0.8511274423663869,0.5668865580742739,10.898437502506315,10.722656253759476,0.17578124874683887,1.2289375115987695,1.654114507076246,2.032803366225707,0.422655708848558,0.2079176549343738,0.7920823450656262,0.422655708848558,-0.056163673442791676,3.6499065245646314,10.932617195332238,0.9490714863661825
kobe_035_semi_active,Kobe 0.35 — semi-active,Kobe,0.35,semi-active,kobe_035_semi_active_avg_converted.csv,3,fate,FATE,fate,laplacian,Sensor-aware Laplacian evolution (Aware_power),True,True,floor_state_assimilated,1F,2,2F,0.7086464118026851,0.9489601215103797,0.052671089845590276,0.9489601215103797,0.7086464118026851,10.820312507518947,10.893554677788028,-0.07324217026908109,1.1059188505019553,1.654114507076246,1.8293164142643703,1.2295719086334387,0.6721482948739728,0.32785170512602724,1.2295719086334387,-0.10518528311316587,3.8021435610814867,10.776367205357502,0.949638394500114
